Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,10.920000,10.920000,10.920000,10.920000,10.398900,0
2019-11-21,10.900000,10.900000,10.900000,10.900000,10.379855,0
2019-11-22,10.930000,10.930000,10.930000,10.930000,10.408423,0
2019-11-25,11.010000,11.010000,11.010000,11.010000,10.484607,0
2019-11-26,11.030000,11.030000,11.030000,11.030000,10.503652,0
2019-11-27,11.080000,11.080000,11.080000,11.080000,10.551266,0
2019-11-29,11.040000,11.040000,11.040000,11.040000,10.513174,0
2019-12-02,10.950000,10.950000,10.950000,10.950000,10.427468,0
2019-12-03,10.870000,10.870000,10.870000,10.870000,10.351287,0
2019-12-04,10.940000,10.940000,10.940000,10.940000,10.417946,0
2019-12-05,10.960000,10.960000,10.960000,10.960000,10.436992,0
2019-12-06,11.060000,11.060000,11.060000,11.060000,10.532221,0
2019-12-09,11.030000,11.030000,11.030000,11.030000,10.503652,0
2019-12-10,11.020000,11.020000,11.020000,11.020000,10.494129,0
2019-12-11,11.050000,11.050000,11.050000,11.050000,10.522697,0
2019-12-12,11.140000,11.140000,11.140000,11.140000,10.608403,0
2019-12-13,11.010000,11.010000,11.010000,11.010000,10.609366,0
2019-12-16,11.090000,11.090000,11.090000,11.090000,10.686455,0
2019-12-17,11.100000,11.100000,11.100000,11.100000,10.696091,0
2019-12-18,11.090000,11.090000,11.090000,11.090000,10.686455,0
2019-12-19,11.150000,11.150000,11.150000,11.150000,10.744271,0
2019-12-20,11.200000,11.200000,11.200000,11.200000,10.792452,0
2019-12-23,11.210000,11.210000,11.210000,11.210000,10.802089,0
2019-12-24,11.210000,11.210000,11.210000,11.210000,10.802089,0
2019-12-26,11.270000,11.270000,11.270000,11.270000,10.859905,0
2019-12-27,11.270000,11.270000,11.270000,11.270000,10.859905,0
2019-12-30,11.210000,11.210000,11.210000,11.210000,10.802089,0
2019-12-31,11.240000,11.240000,11.240000,11.240000,10.830997,0
2020-01-02,11.340000,11.340000,11.340000,11.340000,10.927358,0
2020-01-03,11.260000,11.260000,11.260000,11.260000,10.850268,0
2020-01-06,11.300000,11.300000,11.300000,11.300000,10.888814,0
2020-01-07,11.270000,11.270000,11.270000,11.270000,10.859905,0
2020-01-08,11.330000,11.330000,11.330000,11.330000,10.917723,0
2020-01-09,11.410000,11.410000,11.410000,11.410000,10.994810,0
2020-01-10,11.380000,11.380000,11.380000,11.380000,10.965902,0
2020-01-13,11.460000,11.460000,11.460000,11.460000,11.042991,0
2020-01-14,11.440000,11.440000,11.440000,11.440000,11.023719,0
2020-01-15,11.460000,11.460000,11.460000,11.460000,11.042991,0
2020-01-16,11.560000,11.560000,11.560000,11.560000,11.139353,0
2020-01-17,11.600000,11.600000,11.600000,11.600000,11.177897,0
2020-01-21,11.570000,11.570000,11.570000,11.570000,11.148988,0
2020-01-22,11.580000,11.580000,11.580000,11.580000,11.158625,0
2020-01-23,11.590000,11.590000,11.590000,11.590000,11.168261,0
2020-01-24,11.490000,11.490000,11.490000,11.490000,11.071899,0
2020-01-27,11.310000,11.310000,11.310000,11.310000,10.898450,0
2020-01-28,11.420000,11.420000,11.420000,11.420000,11.004446,0
2020-01-29,11.410000,11.410000,11.410000,11.410000,10.994810,0
2020-01-30,11.450000,11.450000,11.450000,11.450000,11.033354,0
2020-01-31,11.250000,11.250000,11.250000,11.250000,10.840633,0
2020-02-03,11.340000,11.340000,11.340000,11.340000,10.927358,0
2020-02-04,11.520000,11.520000,11.520000,11.520000,11.100809,0
2020-02-05,11.640000,11.640000,11.640000,11.640000,11.216442,0
2020-02-06,11.680000,11.680000,11.680000,11.680000,11.254987,0
2020-02-07,11.620000,11.620000,11.620000,11.620000,11.197168,0
2020-02-10,11.710000,11.710000,11.710000,11.710000,11.283895,0
2020-02-11,11.730000,11.730000,11.730000,11.730000,11.303165,0
2020-02-12,11.810000,11.810000,11.810000,11.810000,11.380256,0
2020-02-13,11.790000,11.790000,11.790000,11.790000,11.360983,0
2020-02-14,11.820000,11.820000,11.820000,11.820000,11.389892,0
2020-02-18,11.790000,11.790000,11.790000,11.790000,11.360983,0
2020-02-19,11.850000,11.850000,11.850000,11.850000,11.418800,0
2020-02-20,11.810000,11.810000,11.810000,11.810000,11.380256,0
2020-02-21,11.680000,11.680000,11.680000,11.680000,11.254987,0
2020-02-24,11.290000,11.290000,11.290000,11.290000,10.879177,0
2020-02-25,10.950000,10.950000,10.950000,10.950000,10.551548,0
2020-02-26,10.910000,10.910000,10.910000,10.910000,10.513004,0
2020-02-27,10.430000,10.430000,10.430000,10.430000,10.050471,0
2020-02-28,10.340000,10.340000,10.340000,10.340000,9.963747,0
2020-03-02,10.820000,10.820000,10.820000,10.820000,10.426280,0
2020-03-03,10.520000,10.520000,10.520000,10.520000,10.137197,0
2020-03-04,10.960000,10.960000,10.960000,10.960000,10.561185,0
2020-03-05,10.600000,10.600000,10.600000,10.600000,10.214285,0
2020-03-06,10.420000,10.420000,10.420000,10.420000,10.040835,0
2020-03-09,9.630000,9.630000,9.630000,9.630000,9.279581,0
2020-03-10,10.100000,10.100000,10.100000,10.100000,9.732479,0
2020-03-11,9.600000,9.600000,9.600000,9.600000,9.250673,0
2020-03-12,8.690000,8.690000,8.690000,8.690000,8.373786,0
